,video_id,comments
23,JjXq6cbiiwo,"['Meimei is Real! Is she', 'Selamat tahun baru cina aku dari asia 🇲🇾', 'Selamat tahun baru cihna juga aku dari 🇮🇩', 'selalunye cerita upin & ipin post kat mana?', 'Hy7jy Hoo kg Yo iyy8u ft y tu uy jgtyjtt9y4gfsfurutufjfjsfkdfshfhktshs', 'Audugujuuugtufudcubsgujugu udguyrufu', 'Bapral', 'Mantap\n\nhttps://youtube.com/@msiham', 'Q1qq', 'ada om om di bagian awal']"
24,GH8OMRGa_Oc,"['Yang 2 lucu', 'Says sebalah vedio aiya Susanti 🙄🙄🙄🙄🙄😤😠😠😠😠😠😠😠😠😠👆', 'e Mei lalu saya sempat menjadi lebih mudah dan murah hati yang kau minta', 'bahkan ada yang bisa kita lakukan untuk menjaga agar kulit cepat putih berikut', 'harga Rp Rp call of Juarez dan yang lain juga', 'namun demikian ada beberapa hal yang sama dengan yang', 'awas selokan  oi kaki melompat', 'MafyA yg enakituhyg terahir😊😊😊😊', '😂😂😂😂😂😂', 'Awas e longkang oi kaki melompat']"
25,j-uh78y_xqk,"['tiber mei mei cina susanti indo lain negara dua dua pergi  malay', '❤❤❤❤', 'Mei mei dan Susanti sahabat yang paling banyak penggemar nya 🤣🤣🤣', '🎉', 'Njr di upload sama yg punya kartun ny wk', 'Sahabat selamaya😢😢😢', 'Sahabatku selamanya❤❤❤❤❤❤', '😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍', 'masakasi', 'sahabatselamanya❤❤❤❤❤❤💕💕💕👍💟']"
26,Ht7XTKvn7y4,"['Suka sangat', 'Lagu itu jadi senam di SD ku', 'Saya, akan  Cari  Ali baba bujang  lapok', 'Ooo jadi dia lah peminat suara', '🤩😘😚🥰🤩😘🤩😘😘😚🤗😎🥰🥰😚😘🤩🤩🤗😎😘🤩🤩🤗💝😍😄😁😁😄😍💝🤗🥑', 'Hai awak saya bolih tak saya nak awak', 'Om gua mah kalo', 'Weh ini  juga lagi hebat lagu ini  apakah yg anda', 'lagi viral banget aiya susanti', 'Bukan sedap pun suara']"
27,sGPBFEs0WYk,"['Masa Hari Raya cina mesti Aku takut  tapi dlu lah masa 4 tahun sekarang dah 19 tahun dah besar', 'Idixixkxodoxooxx) 19', 'Gong Xi Fancai', 'Merah Emas Banyak Ong Ma', 'Nama hewan itu adalah barongsai.', 'waahBarongsainyabagipinJeruk', 'ini udah ga ada ya', 'Saya tak takut saya dari Indonesia macam teman saya', 'Selamat gongsi gongsi🎉🎉', 'Awo😮😳']"
28,_EIsFSkz08o,"['kk coba suara aslinya dong', 'Hari jadi saya ialah Hari ray Cuba 2nd', 'Selamat hari chinese mei mei\nGong xi fa cai happy chinese mei mei🇨🇳🤗\n中國五一快樂 恭喜發財 快樂中國美眉🇨🇳🤗', 'Selamat Hari Chinese memei 😊🙏', '👍🏻👍🏻👍🏻', 'kembar bangetttttt kak keren kak mei mei aku suka suaranya kak🥰😍🤩', 'Lagu ayahsusanti', 'Mana susanti', 'nama saye amel', 'Kue lebaran kayak gitu kue sapik(jepit)']"
29,wbLU6Nu7vnU,"['Boleh buat episode baru pls....', 'Mntap\n\nhttps://youtube.com/@msiham', 'Beda grafik beda nyali cuy 😎🤙', 'Upin ipin dulukan pernah menabung dibank 😂', 'RM7777777888.0000000000', 'Ehsan 🍎🥕🍉🌶️🍑🍉🌶️🍑🍈🥝🥔🥜🍞🌰🍳🥚🥪🥨🍟🥘🍝🧆🥙🌯🌮🫔🍕🥫VS Mail 🛵🏍️💌💸💵🪙🖨️💰🤑📬', 'Mail 🛵🏍️📬💌💸💵🪙🖨️💰🤑 VS Ehsan 🍎🍏🍉🌶️🍑🍏🍉🌶️', 'RM77888', 'Yappy Cash 6778 Rupiah ₹77889.00 (77889.00 Rupees)', 'Bila nak ada  episode  stu kg durian runtuh bnjir']"
30,PBzHf9-ZVCM,"['Wow', 'Mantap \n\nhttps://youtube.com/@msiham', 'Sayang nya gwe dari indo 🗿🗿🗿🗿', 'Uhuyy', 'Nanti sudah nak #selamattahunbarucina ni nanti hari ahad', 'Semanget ye', 'Raju mana Raju keluar 1 ep je', 'Seru ye konser nye ye tak', 'Seru konsernya☺️', 'P']"
31,fhM6tevhfKQ,"['Seru banget nonton upin ipin 😊😊 salam dari Indonesia 😊', 'Menunggu kelanjutan dari film keris sitanggang, salam dari Indonesia', 'Dasar kartun jelek suka ngeprank penonton lagi mending bubar aja', 'Permisi bisa pertemukan cikgu Jasmin yang sekarang untuk kita mengenai cikgu kita', 'rindu nak tengok episod upin-ipin jarjit cakap durian belanda haha😂', 'Tahniah les copa\nSemoga cepat ada video baru upin ipin nya \n😊', 'Serunyaaa Upin Dan Ipin', 'Pertama', 'Siapa yang sering tonton upin dan ipin¿?', 'salam dari Indonesia']"
32,rlgzYDbKCg0,"['This is why I love your channel! Your best option is to make an account with promo sm!', 'less copaque bila upin ipin nak sumbuh rambut asli ? salam dari indonesia', 'Subscriber banyak dari Indonesia', 'Les, copaque production coba buat spoiler upin ipin ultraman ribut dan monster baru', 'Mana apin yang dulu2', 'Saya mau lim dari pada geng dalam episode baru upin dan ipin', 'mana lim', 'Les copaque kena buat Movie kalau nak Opah dah xde. Ttg Opah punya zaman.. suggest idea jap. \n\nTittle:\nUPIN DAN IPIN \nSAYANG OPAH THE MOVIE.\n\nMarket mesti tinggi nye.. ramai sedih pedih punya. Then introduced new character. Makcik bujang belah Ibu Upin, dan Pakcik bujang belah ayah Upin.', 'TV Upin & Ipin', 'Upin Ipin horor lah yang takut']"
